geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene601,MMP0574,101,32,68,189,211,190
gene602,MMP0575,1631,2525,1313,781,820,788
gene603,MMP0576,37338,23678,29458,20223,18636,18864
gene604,MMP0577,5325,4062,4122,2897,2703,2976
gene605,MMP0578,15920,7753,11908,7868,7129,6991
gene606,MMP0579,640,307,473,705,599,662
gene607,MMP0580,609,276,463,735,711,747
gene608,MMP0581,373,122,254,255,241,311
gene609,MMP0582,333,153,263,344,323,316
gene61,MMP0051,444,158,226,593,553,621
gene610,MMP0583,65,9,41,92,65,64
gene611,MMP0584,7955,4415,5986,10472,9696,9979
gene612,MMP0585,5224,3288,4308,3616,3209,3265
gene613,MMP0586,255,86,156,310,229,269
gene614,MMP0587,709,255,450,835,762,725
gene615,MMP0588,1688,880,1208,995,964,963
gene616,MMP0589,659,291,435,1165,988,1005
gene617,MMP0590,1769,637,1128,3801,3350,3449
gene618,MMP0591,3212,1224,2183,2203,1929,2137
gene619,MMP0592,10,7,10,8,2,8
gene62,MMP0052,3053,1372,1987,3455,3145,3271
gene620,MMP0593,5779,3556,4722,4044,3790,3649
gene621,MMP0594,110,45,59,83,63,52
gene622,MMP0595,1095,522,808,813,777,763
gene623,MMP0596,8082,5086,6814,12097,11308,11222
gene624,MMP0597,3503,1316,2393,4407,3857,3986
gene625,MMP0598,879,364,561,6058,5606,5536
gene626,MMP0599,307,89,231,546,535,537
gene627,MMP0600,1982,776,1368,1971,1721,1965
gene628,MMP0601,11666,5057,8384,7441,6648,7450
gene629,MMP0602,1007,425,719,808,736,738
gene63,MMP0053,1392,520,990,997,887,943
gene630,MMP0603,2632,2197,2429,2225,2170,2163
gene631,MMP0604,6077,2921,4357,4769,4369,4418
gene632,MMP0605,2241,1001,1497,3069,2875,2899
gene633,MMP0606,2679,1610,1912,2375,2292,2186
gene634,MMP0607,4502,2200,3224,4277,4233,4262
gene635,MMP0608,3998,2463,3317,3904,3648,3499
gene636,MMP0609,292,171,221,332,276,361
gene637,MMP0610,4582,2276,3445,5063,4788,4811
gene638,MMP0611,1190,526,759,1147,868,1046
gene639,MMP0612,330,67,148,506,437,495
gene64,MMP0054,1335,552,891,918,878,883
gene640,MMP0613,1116,609,769,320,294,343
gene641,MMP0614,201,161,273,302,248,276
gene642,MMP0615,691,519,724,584,548,520
gene643,MMP0616,560,202,361,483,441,499
gene644,MMP0617,565,248,368,339,320,318
gene645,MMP0618,739,526,977,660,616,758
gene646,MMP0619,457,696,821,373,363,456
gene647,MMP0620,11719,9740,12899,8516,9002,9346
gene648,MMP0621,549,199,392,390,361,382
gene649,MMP0622,635,378,602,722,663,736
gene65,MMP0055,1460,760,1124,1114,992,988
gene650,MMP0623,1472,1011,1560,1289,1331,1412
gene651,MMP0624,8017,5687,7212,5572,5400,5832
gene652,MMP0625,17999,15219,14108,17810,15381,15307
gene653,MMP0626,20889,19011,17794,21788,19497,19149
gene654,MMP0627,11317,5557,8082,15554,13154,14454
gene655,MMP0628,515,598,748,541,489,556
gene656,MMP0629,6921,2175,4685,9557,8659,8392
gene657,MMP0630,5999,2621,3809,5268,4576,4154
gene658,MMP0631,922,188,395,426,337,414
gene659,MMP0632,584,224,424,1105,996,1024
gene66,MMP0056,1750,1106,1247,776,717,791
gene660,MMP0633,5125,2734,3772,2303,2203,2273
gene661,MMP0634,539,449,623,951,937,974
gene662,MMP0635,676,608,773,1306,1244,1228
gene663,MMP0636,2611,1894,2356,4093,3848,3922
gene664,MMP0637,492,194,329,1176,1000,1123
gene665,MMP0638,1228,753,1116,4769,4444,4629
gene666,MMP0639,805,781,537,629,726,745
gene667,MMP0640,5270,6129,4740,4073,3879,4489
gene668,MMP0641,26344,10209,17762,20986,19571,20408
gene669,MMP0642,1141,445,698,1038,910,868
gene67,MMP0057,4089,2440,2856,1359,1368,1321
gene670,MMP0643,1810,865,1201,1209,1039,1152
gene671,MMP0644,1445,730,1092,1514,1332,1252
gene672,MMP0645,2177,927,1539,2003,1823,1815
gene673,MMP0646,263,79,144,473,293,218
gene674,MMP0647,522,193,362,584,548,603
gene675,MMP0648,412,199,294,597,507,562
gene676,MMP0649,970,418,677,1252,1111,1153
gene677,MMP0650,8243,5225,6764,5838,5725,5644
gene678,MMP0651,2313,975,1512,1494,1407,1500
gene679,MMP0652,31,5,23,322,307,310
gene68,MMP0058,99193,107750,99520,34079,34145,35646
gene680,MMP0653,493,271,396,270,233,303
gene681,MMP0654,34969,21963,27413,21000,19960,19870
gene682,MMP0655,121,39,57,292,284,321
gene683,MMP0656,1224,361,746,3471,3104,3273
gene684,MMP0657,3059,692,1577,2169,1788,1860
gene685,MMP0658,4514,2762,3461,3294,3239,3142
gene686,MMP0659,556,331,399,640,674,676
gene687,MMP0660,401,220,342,373,359,388
gene688,MMP0661,623,310,445,406,385,334
gene689,MMP0662,8,3,2,7,4,5
gene69,MMP0059,1638,570,989,1907,1755,1820
gene690,MMP0663,1937,1082,1556,992,921,886
gene691,MMP0664,756,386,560,352,300,334
gene692,MMP0665,342,140,270,263,230,232
gene693,MMP0666,7264,4409,5791,4298,4333,4343
gene694,MMP0667,22987,15228,18609,16801,16776,16049
gene695,MMP0668,10161,4880,7118,7315,6684,6713
gene696,MMP0669,21455,19199,19425,13473,13738,13321
gene697,MMP0670,428,223,306,2458,2050,2356
gene698,MMP0671,1,3,0,15,16,18
gene699,MMP0672,235,134,211,606,567,626
gene7,MMP0002,4790,2033,3106,4320,3783,4013
gene70,MMP0060,2440,1199,1466,1588,1382,1781
gene700,MMP0673,108,53,83,333,310,288
gene701,MMP0674,22,2,11,24,20,35
gene702,MMP0675,216,58,122,135,86,106
gene703,MMP0676,890,402,736,942,824,971
gene704,MMP0677,431,251,329,521,488,472
gene705,MMP0678,507,241,413,546,461,572
gene706,MMP0679,7524,4713,6305,9195,8152,8869
gene707,MMP0680,1837,846,1456,2347,2209,2395
gene708,MMP0681,3153,2083,2588,3846,3682,3836
gene709,MMP0682,2140,1072,1515,2174,2066,2076
gene71,MMP0061,14515,7781,10760,12214,11014,11434
gene710,MMP0683,1287,622,888,673,664,698
gene711,MMP0684,4612,1835,3382,6527,5388,5445
gene712,MMP0685,386,164,212,703,562,567
gene713,MMP0686,5271,6857,3550,1088,1054,926
gene714,MMP0687,3065,1734,1612,1492,1386,1414
gene715,MMP0688,5251,2220,3589,6135,5376,5788
gene716,MMP0689,6541,3602,5831,5469,4453,4793
gene717,MMP0690,281,90,149,1808,1538,1718
gene718,MMP0691,201,74,136,1486,1333,1354
gene719,MMP0692,11359,4720,8066,14192,12990,12785
gene72,MMP0062,5211,1217,2903,3930,3310,3583
gene720,MMP0693,427,360,448,8463,8377,7669
gene721,MMP0694,9487,3493,6803,19668,21634,21758
gene722,MMP0695,15967,7736,12318,20150,19814,17421
gene723,MMP0696,2893,1787,2326,1801,1821,1768
gene724,MMP0697,6627,3362,4735,5246,4862,4964
gene725,MMP0698,420,282,296,291,327,323
gene726,MMP0699,692,252,471,642,549,548
gene727,MMP0700,229,103,166,292,288,277
gene728,MMP0701,927,412,657,1292,1211,1153
gene729,MMP0702,1369,785,1125,2032,2021,2110
gene73,MMP0063,2925,1325,2037,3129,3041,3183
gene730,MMP0703,275,78,135,591,541,583
gene731,MMP0704,8459,5206,7195,5036,4877,4896
gene732,MMP0705,1360,681,930,1061,1068,1078
gene733,MMP0706,3095,1706,2462,2005,1908,1984
gene734,MMP0707,3753,1851,2808,2622,2524,2569
gene735,MMP0708,2242,1996,2361,978,905,907
gene736,--,3,0,2,11,22,14
gene737,MMP0709,10224,6563,8804,7453,6417,6418
gene738,MMP0710,690,604,996,2293,2237,2283
gene739,MMP0711,438,275,392,1275,1049,1264
gene74,MMP0064,1772,1395,1580,652,673,446
gene740,MMP0712,979,376,654,880,723,821
gene741,MMP0713,3469,2027,2727,2220,2111,2056
gene742,MMP0714,759,574,723,441,446,439
gene743,MMP0715,3183,2340,2878,1691,1793,1782
gene744,MMP0716,754,252,401,497,483,534
gene745,MMP0717,932,352,548,1328,1145,1159
gene746,MMP0718,3627,1936,3124,1865,1667,1976
gene747,MMP0719,1740,763,1222,1420,1294,1448
gene748,MMP0720,3207,2394,3057,8164,7775,8258
gene749,MMP0721,711,401,576,1940,1617,1786
gene75,MMP0065,6482,3359,5641,2182,2362,1753
gene750,MMP0722,408,214,317,1374,1192,1291
gene751,MMP0723,335,123,220,908,806,864
gene752,MMP0724,134,15,60,521,384,468
gene753,MMP0725,575,152,331,955,886,942
gene754,MMP0726,22,1,4,71,67,60
gene755,MMP0727,1450,763,1012,1292,1160,1076
gene756,MMP0728,842,306,584,836,725,736
gene757,MMP0729,2653,1641,2364,2801,2613,2593
gene758,MMP0730,137,48,62,136,151,167
gene759,MMP0731,22,13,20,33,15,47
gene76,MMP0066,3108,1059,2057,3135,2685,2903
gene760,MMP0732,598,268,443,752,724,635
gene761,MMP0733,275,166,229,420,370,360
gene762,MMP0734,128,63,170,60,63,72
gene763,MMP0735,1335,675,960,800,864,870
gene764,MMP0736,4218,2529,3246,3341,3084,3416
gene765,MMP0737,7493,3525,5380,5804,5370,5496
gene766,MMP0738,1837,862,1243,1201,1148,1187
gene767,MMP0739,808,349,554,424,366,404
gene768,MMP0740,61,31,40,73,48,61
gene769,MMP0741,1,0,4,4,2,3
gene77,MMP0067,125,56,90,149,129,158
gene770,MMP0742,939,452,630,663,633,675
gene771,MMP0743,154,81,113,94,77,106
gene772,MMP0744,9,11,14,5,4,6
gene773,MMP0745,0,0,0,0,0,0
gene774,MMP0746,2,4,1,2,0,7
gene775,MMP0747,6,4,8,9,5,5
gene776,MMP0748,141,149,155,111,91,95
gene777,MMP0749,19,16,15,10,7,13
gene778,MMP0750,7,2,7,2,2,4
gene779,MMP0751,1,0,2,3,5,4
gene78,MMP0068,467,234,327,582,627,606
gene780,MMP0752,95,27,51,123,118,93
gene781,MMP0753,515,283,393,503,432,499
gene782,MMP0754,356,151,272,132,137,160
gene783,MMP0755,1120,935,1254,710,613,653
gene784,MMP0756,492,211,364,287,273,300
gene785,MMP0757,101,49,90,138,94,126
gene786,MMP0758,201,105,137,275,198,231
gene787,MMP0759,236,140,255,379,370,436
gene788,MMP0760,260,53,124,159,123,162
gene789,MMP0761,139,75,114,78,70,74
gene79,MMP0069,139,59,95,110,95,99
gene790,MMP0762,394,372,582,189,199,210
gene791,MMP0763,232,119,168,70,75,105
gene792,MMP0764,52,18,26,98,89,85
gene793,MMP0765,364,158,249,608,572,651
gene794,MMP0766,18,18,22,187,154,164
gene795,MMP0767,161,50,110,280,241,238
gene796,MMP0768,477,266,397,486,470,515
gene797,MMP0769,481,178,346,637,494,523
gene798,MMP0770,344,100,191,200,207,194
gene799,MMP0771,46,15,27,164,137,138
gene8,MMP0003,5155,2875,4043,3902,3547,3417
gene80,MMP0070,250,166,228,358,370,390
gene800,MMP0772,16,16,12,165,129,146
gene801,MMP0773,41,41,48,389,341,339
gene802,MMP0774,10,12,16,128,132,114
gene803,MMP0775,16,5,8,108,71,76
gene804,MMP0776,41,44,40,274,278,331
gene805,MMP0777,77,66,77,697,659,663
gene806,MMP0778,9,4,9,80,67,77
gene807,MMP0779,17,11,19,81,80,96
gene808,MMP0780,141,116,133,891,829,851
gene809,MMP0781,158,106,167,923,861,898
gene81,--,8,2,4,5,4,9
gene810,MMP0782,10,3,14,134,150,125
gene811,--,5,6,5,73,76,86
gene812,MMP0783,670,242,427,743,678,665
gene813,MMP0784,100,29,45,96,82,115
gene814,MMP0785,453,217,361,510,446,500
gene815,MMP0786,11,1,10,59,54,68
gene816,MMP0787,172,52,105,185,200,169
gene817,MMP0788,152,130,178,117,108,146
gene818,MMP0789,192,75,124,125,104,112
gene819,MMP0790,152,59,106,109,107,102
gene82,--,24,6,5,19,28,22
gene820,MMP0791,1,1,1,6,8,13
gene821,MMP0792,252,180,210,223,187,234
gene822,MMP0793,98,38,80,69,56,47
gene823,MMP0794,139,49,81,94,83,112
gene824,MMP0795,254,131,165,330,350,298
gene825,MMP0796,147,64,80,252,226,239
gene826,MMP0797,117,53,88,193,164,165
gene827,MMP0798,200,93,157,54,48,47
gene828,MMP0799,308,295,204,288,296,322
gene829,MMP0800,25,8,16,30,28,26
gene83,MMP0071,613,260,430,622,565,573
gene830,MMP0801,43,24,20,44,28,48
gene831,MMP0802,22,19,22,36,40,43
gene832,MMP0803,44,22,19,49,41,47
gene833,MMP0804,25,10,29,26,30,19
gene834,MMP0805,34,21,21,43,37,46
gene835,MMP0806,42,19,27,80,48,46
gene836,MMP0807,112,59,81,123,129,121
gene837,MMP0808,1086,748,816,963,917,866
gene838,MMP0809,967,421,660,704,653,697
gene839,MMP0810,382,127,204,814,742,687
gene84,MMP0072,803,434,600,415,418,399
gene840,MMP0811,467,104,299,678,549,606
gene841,MMP0812,1718,944,1359,1768,1619,1734
gene842,MMP0813,199,73,119,266,248,289
gene843,MMP0814,1710,1040,1522,2303,2142,2394
gene844,MMP0815,2117,1289,1952,3718,3371,3703
gene845,MMP0816,167,22,34,88,79,96
gene846,MMP0817,35,22,27,66,26,38
gene847,MMP0818,15,13,13,28,25,20
gene848,MMP0819,17,18,10,12,9,13
gene849,MMP0820,30,26,29,46,39,43
gene85,MMP0073,9241,5770,7660,5592,5247,5159
gene850,MMP0821,4,1,6,3,8,4
gene851,MMP0822,26,12,20,21,21,15
gene852,MMP0823,59,101,74,70,49,52
gene853,MMP0824,77,40,50,66,52,40
gene854,MMP0825,159,95,117,81,68,68
gene855,MMP0826,145,59,104,225,231,204
gene856,MMP0827,243,109,189,94,97,99
gene857,MMP0828,232,88,128,150,153,140
gene858,MMP0829,41,31,45,43,42,36
gene859,MMP0830,100,70,101,83,84,98
gene86,MMP0074,345,117,223,676,598,629
gene860,MMP0831,60,34,28,69,45,53
gene861,MMP0832,150,57,106,141,95,102
gene862,MMP0833,128,91,125,111,84,105
gene863,MMP0834,66,26,46,161,130,170
gene864,MMP0835,178,53,134,262,187,183
gene865,MMP0836,186,86,131,157,199,150
gene866,MMP0837,69,23,39,93,108,76
gene867,MMP0838,184,49,114,210,189,216
gene868,MMP0839,1460,644,928,2091,1816,1860
gene869,MMP0840,415,149,240,514,451,513
gene87,MMP0075,462,88,213,1973,1806,1871
gene870,MMP0841,309,90,192,2374,1980,2145
gene871,MMP0842,141,49,102,585,531,531
gene872,MMP0843,98,24,51,143,128,160
gene873,MMP0844,540,258,390,1156,1073,1097
gene874,MMP0845,123,57,80,215,194,218
gene875,MMP0846,614,166,329,640,580,571
gene876,MMP0847,100,53,74,151,145,168
gene877,MMP0848,44,80,58,71,50,52
gene878,MMP0849,477,178,281,1563,1321,1397
gene879,MMP0850,340,93,205,1114,929,947
gene88,MMP0076,153729,154356,141818,117378,105960,104601
gene880,MMP0851,702,232,382,564,520,541
gene881,MMP0852,612,299,429,545,494,541
gene882,MMP0853,1953,2011,2338,804,1033,672
gene883,MMP0854,418,414,406,154,167,113
gene884,MMP0855,484,637,601,185,248,170
gene885,MMP0856,2263,2022,2355,777,1142,765
gene886,MMP0857,1872,1719,2093,788,1027,700
gene887,MMP0858,1280,1021,1273,596,774,522
gene888,MMP0859,830,734,1072,330,400,286
gene889,MMP0860,117,68,106,69,70,77
gene89,MMP0077,632,271,470,602,483,554
gene890,MMP0861,1378,476,934,4154,3881,3717
gene891,MMP0862,474,97,236,1230,1158,1202
gene892,MMP0863,122,73,131,217,259,218
gene893,MMP0864,109,55,99,290,316,314
gene894,MMP0865,3558,2092,2876,8213,8225,7734
gene895,MMP0866,18658,11808,15034,9515,10045,9407
gene896,MMP0867,4886,2178,3741,3376,3957,3436
gene897,MMP0868,3451,1223,2492,3808,3848,3394
gene898,MMP0869,115,72,107,171,146,178
gene899,MMP0870,369,163,267,369,380,370
gene9,MMP0004,933,663,813,760,774,786
gene90,MMP0078,1120,481,723,574,501,541
gene900,MMP0871,386,200,270,462,428,462
gene901,MMP0872,1130,662,902,1134,1080,1117
gene902,MMP0873,3408,1921,2638,4131,3696,3907
gene903,MMP0874,1640,663,1067,1457,1009,1039
gene904,MMP0875,1161,685,853,592,424,411
gene905,MMP0876,891,435,645,744,668,723
gene906,MMP0877,1058,562,739,863,924,802
gene907,MMP0878,1145,548,779,995,904,917
gene908,MMP0879,4312,3752,4609,3286,3251,3218
gene909,MMP0880,2184,1099,1705,2209,2108,2149
gene91,MMP0079,2322,726,1502,1632,1416,1461
gene910,MMP0881,316,120,179,358,334,325
gene911,MMP0882,1700,631,1096,622,616,629
gene912,MMP0883,5019,2091,3270,4132,3764,3934
gene913,MMP0884,4175,1538,2600,3604,3058,3212
gene914,MMP0885,1971,903,1216,4366,3909,4016
gene915,MMP0886,1692,398,853,3445,2990,3140
gene916,MMP0887,491,244,335,2132,1587,1565
gene917,MMP0888,1795,814,1030,1554,1069,1182
gene918,MMP0889,15844,10154,13880,13090,10298,10084
gene919,MMP0890,1653,767,1108,1210,1193,1168
gene92,MMP0080,5803,4797,5766,6703,6964,6858
gene920,MMP0891,878,376,595,1048,915,1038
gene921,MMP0892,115,26,78,83,90,61
gene922,MMP0893,8025,4466,5912,12557,11617,11567
gene923,MMP0894,5777,3782,4552,7344,6820,6763
gene924,MMP0895,252,70,128,2024,1803,2074
gene925,MMP0896,235,66,138,1614,1463,1549
gene926,MMP0897,2822,1516,2122,2898,2529,2511
gene927,MMP0898,7765,4710,6326,15678,14446,15245
gene928,MMP0899,330,154,281,342,324,323
gene929,MMP0900,201,93,133,222,222,207
gene93,MMP0081,9533,7737,9021,11237,12011,11565
gene930,MMP0901,3991,2082,2971,8728,8031,8283
gene931,MMP0902,510,169,329,717,627,711
gene932,MMP0903,35,6,17,93,77,92
gene933,MMP0904,4039,1735,2728,2734,2443,2530
gene934,MMP0905,500,484,493,706,684,669
gene935,MMP0906,352,171,240,633,538,593
gene936,MMP0907,344,192,271,393,408,400
gene937,MMP0908,1574,740,1139,1566,1395,1395
gene938,MMP0909,837,290,530,1036,830,976
gene939,MMP0910,480,173,317,793,669,801
gene94,MMP0082,4885,3530,4227,5509,5499,5590
gene940,MMP0911,1445,523,982,1905,1716,1774
gene941,MMP0912,200,53,99,132,122,156
gene942,MMP0913,338,65,181,285,248,295
gene943,MMP0914,2130,945,1360,1749,1456,1641
gene944,MMP0915,919,220,426,830,755,1072
gene945,MMP0916,2446,623,1237,2236,2042,2366
gene946,MMP0917,2489,1140,1763,6113,5740,5787
gene947,MMP0918,2216,1208,1688,6376,5757,5609
gene948,MMP0919,2145,1315,1791,2869,2549,2423
gene949,MMP0920,4853,4455,5338,4619,4638,4581
gene95,MMP0083,8404,5008,6534,9683,9311,9866
gene950,MMP0921,373,204,253,241,209,197
gene951,MMP0922,393,168,250,796,752,743
gene952,MMP0923,1650,1127,1505,2443,2504,2494
gene953,MMP0924,410,199,287,762,718,700
gene954,MMP0925,410,268,312,1035,889,944
gene955,MMP0926,1337,915,1185,2857,2708,2892
gene956,MMP0927,3161,1734,2299,6735,6240,6382
gene957,MMP0928,231,114,170,418,395,479
gene958,MMP0929,922,366,646,2042,1699,1778
gene959,MMP0930,297,162,155,1527,1503,1631
gene96,MMP0084,693,250,448,1330,1114,1207
gene960,MMP0931,722,378,499,1555,1377,1402
gene961,MMP0932,975,419,666,2196,1888,2130
gene962,MMP0933,695,496,487,1834,1683,1737
gene963,MMP0934,1252,547,876,1009,850,911
gene964,MMP0935,430,246,360,443,398,416
gene965,MMP0936,926,603,805,804,732,811
gene966,MMP0937,1177,733,1034,1055,895,942
gene967,MMP0938,836,248,584,1034,962,879
gene968,MMP0939,1836,907,1316,1886,1783,1880
gene969,MMP0940,483,239,371,488,427,437
gene97,MMP0085,1483,856,1180,2514,2266,2289
gene970,MMP0941,1173,577,864,2194,1929,1925
gene971,MMP0942,718,389,629,1144,1001,1053
gene972,MMP0943,1051,618,831,995,928,959
gene973,MMP0944,821,306,633,865,865,853
gene974,MMP0945,2638,1540,2020,1278,1192,1317
gene975,MMP0946,9116,4843,7028,7464,7012,6858
gene976,MMP0947,3022,1703,2414,1950,1836,1816
gene977,MMP0948,3699,1312,2366,4411,4044,4273
gene978,MMP0949,872,322,615,5054,4887,5112
gene979,MMP0950,772,264,455,2677,2499,2662
gene98,MMP0086,810,651,796,1402,1265,1277
gene980,MMP0951,465,165,266,1384,1414,1358
gene981,MMP0952,5530,3431,4501,5593,5035,5153
gene982,MMP0953,2777,1066,1859,8945,8134,9215
gene983,MMP0954,325,134,207,264,191,248
gene984,MMP0955,3913,2360,3024,2510,2463,2554
gene985,MMP0956,6893,4221,5315,5870,5778,5881
gene986,MMP0957,48,9,20,90,87,77
gene987,MMP0958,120,90,120,104,95,113
gene988,MMP0959,858,778,970,819,862,885
gene989,MMP0960,361,145,254,106,98,102
gene99,MMP0087,3951,2010,3178,3344,2923,2920
gene990,MMP0961,15577,10655,13069,7119,6903,7171
gene991,MMP0962,145,67,104,51,65,83
gene992,MMP0963,5422,3280,4050,2138,2020,2123
gene993,MMP0964,343,97,228,246,196,244
gene994,MMP0965,8040,4630,6105,5281,4820,4489
gene995,MMP0966,890,670,854,828,888,872
gene996,MMP0967,865,341,580,818,764,802
gene997,MMP0968,3940,2143,3011,3565,3411,3263
gene998,MMP0969,659,260,385,516,473,518
gene999,MMP0970,1798,976,1302,2593,2336,2564
Novel00001,--,0,0,0,0,0,0
Novel00002,--,0,0,0,0,0,0
Novel00003,--,0,0,1,3,0,1
Novel00004,--,0,0,0,0,0,0
Novel00005,--,0,0,0,0,0,0
Novel00006,--,1,0,2,2,3,4
Novel00007,--,0,0,0,0,0,0
Novel00008,--,0,0,0,0,0,0
Novel00009,--,0,0,0,0,0,0
Novel00010,--,0,0,0,0,0,0
Novel00011,MMP0218,17751,7756,7854,18539,16078,18536
Novel00012,--,0,0,0,0,0,0
sRNA00001,--,0,0,0,0,0,0
sRNA00002,--,0,0,0,0,0,0
sRNA00003,--,0,0,0,1,3,5
sRNA00004,--,0,0,0,0,0,0
sRNA00007,--,0,0,0,0,0,0
sRNA00008,--,100,14,35,1432,1264,1432
sRNA00011,--,0,0,0,0,0,0
sRNA00013,--,0,0,0,1,0,0
sRNA00015,--,1385,243,577,36663,29627,36568
sRNA00018,--,78,23,51,5935,5218,5461
sRNA00019,--,0,0,0,0,0,0
sRNA00025,--,4,6,2,8,7,9
sRNA00028,--,6512,2847,4605,5789,4525,3809
sRNA00031,--,1,3,1,40,64,53
sRNA00046,--,132,99,87,45,47,57
sRNA00047,--,152,20,79,17206,14896,18389
